SMILES,Predicted logBCF
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,1.873375957
FC(F)C(F)=C(F)C(F)(F)C(F)(F)F,2.153220957
CC(F)(F)C(F)(F)C(F)(F)S(O)(=O)=O,0.928936234
FC(F)(F)C=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,2.716110165
FC(F)(F)C1(F)OC(F)(F)C(F)(OC1(F)F)C(F)(F)F,2.081488773
NC1=C(N)C=C(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(Br)=C1,2.172558429
CC1=C(C=C(S1)C1=CC=CC=C1)C1=C(C2=C(C)SC(=C2)C2=CC=CC=C2)C(F)(F)C(F)(F)C1(F)F,2.836798323
[O-][N+](=O)C1=CC=CC(C(=O)NC2=C(C=C(C=C2Br)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)=C1F,2.334309196
CCCCCCCCC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OC(C)C)(OC(C)C)OC(C)C,2.228467727
[O-][N+](=O)C1=C(F)C=CC(=C1)C(=O)NC1=C(C=C(C=C1Br)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,2.333184061
[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)CCCCCC(F)(F)F,1.202530355
[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)CCC(F)(F)F,1.197492151
CCCOC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,2.133800424
FC1C(F)(F)C(F)(F)CS1(=O)=O,1.307399947
CSC(F)(F)C(F)(F)C(F)(F)F,1.855130318
CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,2.196461422
CC1=CC(=CC(C)=C1NC(=O)C1=CC(=C(F)C=C1)[N+]([O-])=O)C(F)(C(F)(F)F)C(F)(F)F,1.808727065
CC(=S)OCCC(F)(F)C(F)(F)F,1.752264231
[O-][N+](=O)C1=CC(=C(CCOC(=O)\C=C\C2=CC=C(OC(=O)C3=CC=C(OCCCC(F)(F)C(F)(F)F)C=C3)C=C2)C=C1)[N+]([O-])=O,2.373182499
OC(=O)C1=CC(Br)=C(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1C(O)=O,1.673561485
FC(F)(F)CCC(F)(F)C(F)(F)OC=C,1.935578629
FC(F)(F)OC1=C(Br)C(Cl)=CC(=C1)C(F)(C(F)(F)F)C(F)(F)F,3.039779174
COC(=O)C(F)(CF)C(F)(F)F,1.209053699
FP(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.131056958
CC1=CC(=CC(C)=C1NC(=O)C1=C(Cl)C(=CC=C1)[N+]([O-])=O)C(F)(C(F)(F)F)C(F)(F)F,1.869557812
[O-]C(=O)C1(F)C=CC(F)C(F)(F)C1(F)F,1.759160634
CCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,1.239525052
FC(F)(F)C1(F)OCCOC1(F)F,1.619496804
CN(C(=O)C1=C(Cl)N=CC=C1)C1=CC=CC(=C1)C(=O)NC1=C(C=C(C=C1I)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,2.099983957
NS(=O)(=O)C1=CC=CC=C1C1=CC2=C(C=C1)N=C(N2)C#CC1=CC=C(OCC(F)(F)C(F)(F)F)C=C1,1.793488083
[O-]B([O-])OC(F)(F)C(F)(F)F,1.091132434
FC(F)(F)C(F)(F)OC1=CC=C(C=C)C=C1,2.574181234
FC(F)OC(=O)C(F)(F)F,1.177359277
FC(OC=O)C(F)(F)F,1.246865409
F\C=C(/F)C(F)(F)F,2.838085568
FC(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,2.345581718
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)CCCOC(=O)C=C,2.049943374
O[13C](=O)[13C](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.066432856
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,1.656036225
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(\F)=C(/F)C(F)(F)F,2.127854055
CC(C)(CS([O-])(=O)=O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.6277223
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,1.003077388
C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(O)(=O)=O,1.277544163
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCC1CO1,2.183381548
[NH4+].[NH4+].[O-]P([O-])(=O)CCC(F)(F)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.942914092
C[N+](CCO)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(O)(=O)=O,1.035375465
OCC(O)CN(CC(O)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.604159666
C[N+](C)(CCC(CO)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CO,1.261107746
Cl.NCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.914748569
C[N+](C)(CCO)CC(O)C[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.175770965
C[N+](C)(C)CCCNCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.762761292
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F,2.236154717
OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.117993878
CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.242883243
CO[Si](C)(C)CCC(F)(F)C(F)(F)F,1.747416591
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.134998312
[Cl-].FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NCC[N+]1=CC=CC=C1,1.110907965
[Cl-].FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)CC[N+]1=CC=CC=C1)C(F)(F)F,1.252482299
CN(C)CCCNC(=O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.616211219
CN(C)CCCNC(=O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.096308011
C[N+](C)(C)CCCNC(=O)CS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.612245741
CC(C)(CS(O)(=O)=O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.169897412
C[N+](C)(CCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC([O-])=O,1.839380967
