SMILES,prediction_probability
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,0.24198547498230003
O=C(O)c1ccc(Cl)c(Cl)c1,0.24094924489101974
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,0.6940371829850405
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,0.23610788893653434
C1=CCCC=CCCC=CCC1,0.7941276058840399
CCOP(=S)(OCC)SCCSCC,0.7802826810825801
COC(C)(C)C,0.7767960716086637
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,0.6360662164048025
CC(C)=C1C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,0.24060324821733356
COC(=O)C1(Cl)C(Cl)CCC2(C)c3ccc(C(C)C)cc3CCC21,0.19616434987770093
C=CC1(C)C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,0.19806587225097153
C=CC1(C)CCC2C(=CCC3C(C)(C(=O)O)CCCC23C)C1,0.2420859648154642
CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C(=O)O)C1CC2,0.23941550407164236
O=P(OCC(CCl)(CBr)CBr)(OC(CCl)CCl)OC(CCl)CCl,0.6007035898507672
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.15753543976987783
c1csc(-c2cccs2)c1,0.7867783301412272
c1ccncc1,0.7007434790199363
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,0.2595021735168112
COP(=S)(OC)Oc1ccc(C#N)cc1,0.6836721955246342
COc1c(Br)cc(Br)cc1Br,0.660723027004421
CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1,0.6101851567678764
CCCC(Cl)CCC(Cl)CC(Cl)C(Cl)CCC(Cl)CCC(Cl)C(Cl)CC(C)Cl,0.6122999164935627
CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],0.4220148516971099
BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,0.6959838405991318
O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)O)c1,0.29017990705942365
CCOP(=S)(S)OCC,0.7966738220733041
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,0.43678333977377726
c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12,0.5486937324387469
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,0.4036712008055659
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,0.5356385629910322
OCCOCCOCCO,0.6908726683049359
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,0.4204378196505719
FC(F)(F)c1ccc(Cl)c(Cl)c1,0.4252359350895324
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,0.3580002517088235
O=[N+]([O-])c1cc(Cl)cc(Cl)c1,0.35483526567745133
COP(=S)(OC)Oc1c(Cl)cccc1C#N,0.34786108585627745
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,0.2985823483535386
O=[N+]([O-])c1cccc(Cl)c1,0.26809068855477813
C=CC=O,0.8445555487543688
CCOC(=O)c1ccccc1C(=O)OCC,0.3896104442389815
COC(=O)c1ccccc1C(=O)OC,0.4795008222122278
ClCCCl,0.7978305497819786
O=S(=O)(O)c1ccccc1C=Cc1ccc(-c2ccc(C=Cc3ccccc3S(=O)(=O)O)cc2)cc1,0.5262260615263493
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0.7340552659896882
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,0.8679888022258191
Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,0.5825534034945982
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.4854176239439578
Nc1ccccc1N,0.7257496246843443
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,0.7136987471084335
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],0.6083009985343433
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,0.4438818513497347
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,0.67128069272429
Clc1ccc2ccccc2c1,0.3191216699853248
CCCCCCCCCCCCCCCC[n+]1ccccc1,0.7306856676843939
