,MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Chi0n,Chi0v,Chi1n,Chi3n,Chi3v,Chi4n,Chi4v,Kappa1,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA2,PEOE_VSA6,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA4,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Ar_OH,fr_C_O,fr_C_O_noCOO,fr_NH1,fr_allylic_oxid,fr_amide,fr_aryl_methyl,fr_benzene,fr_ester,fr_furan,fr_ketone,fr_nitro_arom,fr_phenol,fr_phenol_noOrthoHbond
0,0.7791462299461858,0.7791462299461858,0.7626465551162497,0.23871562952958236,0.09587159178523869,0.2420106124401796,0.2318418403000978,0.24206288438974488,0.2717391304347826,0.5999395202851965,0.47834008524802374,0.5216599147519762,0.7612118607122663,0.3223140495867769,0.4106583072100314,0.49586776859504134,0.024004667840044097,0.20196306960023236,0.4593690109743388,0.4008482113866647,0.6363460317073784,0.43853717786942736,0.20481335844315324,0.29504318677676244,0.6329262401250736,0.15333615249971405,0.3284728912440568,0.30020601851183515,0.3434746849569593,0.404081697757047,0.28272127263630464,0.4197024841824702,0.2686040412385831,0.2604957925015845,0.2862584937663609,0.23699060027627233,0.0,0.0,0.0,0.0,0.07030900517988799,0.39918681471912437,0.08753806596338141,0.2042951059956704,0.0,0.0,0.08927774918510896,0.3639032577977946,0.24367655415127232,0.31544171312826247,0.0,0.0,0.23032968535971113,0.0,0.12266787825798912,0.2745214684268535,0.0,0.4924951487399079,0.05021244246687026,0.0561379434512838,0.8244313565679822,0.09999999999999995,0.3595650534404449,0.0317298352464556,0.022068545261032954,0.4167763543229195,0.2857142857142857,0.07692307692307693,0.0,0.0,0.2727272727272727,0.36363636363636365,0.0,0.36363636363636365,0.4457760054273636,0.3445108129851392,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6531284312377498,0.6531284312377498,0.7567629863553268,0.7821678457201764,0.07624588210555829,0.08549261331029546,0.0884260785554174,0.0849453688088288,0.06884057971014493,0.5607496350985828,0.47832147489356114,0.5216785251064388,0.7028220086250426,0.603305785123967,0.6865203761755487,0.7382920110192838,0.19291867654111247,0.311798474665252,0.3545970741539065,0.5686024750238321,0.5446610432285757,0.5824670874067237,0.23424298018462436,0.29501910130832465,0.36520388177556296,0.30059411253789087,0.06610284392883078,0.08192546676564014,0.06663933252387522,0.0739658261141272,0.08453641890432899,0.057202510503397835,0.05395383333523779,0.0759579558092667,0.08278591078787646,0.08118682627456983,0.0,0.0,0.0,0.0,0.08963635441431457,0.11424460325769,0.06053268602152879,0.15170929165376507,0.0,0.0,0.0,0.1857664229844564,0.0,0.0,0.0,0.14564947578661464,0.06847678860942623,0.0,0.03339012907288017,0.0767667626569679,0.20000000000000004,0.0,0.09554377800108109,0.050680823831060234,0.0,0.0,0.0,0.20334851775774498,0.1559058640710183,0.3324837328281055,0.0,0.07692307692307693,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.2706649347640833,0.09573307754029954,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
2,0.15535438706315183,0.15535438706315183,0.9208872466428646,0.3088976314598487,0.09103058339758419,0.35605592044512246,0.36628305866389355,0.3526757542718796,0.13405797101449277,0.1268631007809917,0.9961116282700205,0.0038883717299793563,0.05636513739909976,0.15151515151515152,0.17241379310344826,0.202020202020202,0.5851399986471891,0.2547882936074739,0.4135772608804168,0.4533389712525018,0.659520343071089,0.621688545643948,0.5031164647988022,0.7096650143619643,0.441645543999156,0.24870031601517634,0.12495421387154834,0.27201086854481765,0.12581711780010427,0.1435348412170752,0.2520283460847073,0.14202107142794423,0.3998843429417438,0.17115823314895065,0.22117377210163006,0.0,0.0,0.0,0.0,0.0,0.36925510619332663,0.15232613767692,0.0,0.49707692694157685,0.0,0.0,0.0,0.28079290725478634,0.24367655415127232,0.0,0.0,0.6,0.0,0.0,0.0,0.2155556246698818,0.0,0.1657305556900155,0.0,0.0,0.48109620780223566,0.0,0.46509304554453323,0.0,0.2794073528273904,0.19290956458234437,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.48730443703513726,0.24004359676477743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
3,0.844166197003845,0.844166197003845,0.467829131667386,0.9351204077050336,0.09897757366497939,0.16748493100426498,0.16493022628247314,0.1675471909295607,0.1847826086956522,0.6756522706458858,0.4621856940736153,0.5378143059263846,0.8740179144586956,0.5019762845849802,0.6341829085457272,0.7641633728590251,0.05090806406122489,0.2554626054860205,0.508155331123329,0.4484052615182885,0.5954776124578693,0.45472132588698444,0.19778753884250705,0.23377381627471805,0.5195944165805317,0.17383791842591945,0.1990129269503851,0.17988272780293812,0.19812464827628548,0.1864617466064907,0.13046050487114857,0.18602607673967825,0.1190542297727085,0.18620295160795827,0.1807356478862751,0.15983935840104238,0.07202230535019716,0.0,0.0,0.13163849643318618,0.07030900517988799,0.23925346452810758,0.13879841785635327,0.060299346474251635,0.0,0.0,0.08422567499066158,0.32780651559558915,0.12591295472581168,0.3236121933657152,0.16666666666666666,0.0,0.07425940217527743,0.0,0.0959634086173383,0.2047113670852477,0.0,0.0,0.0550908121553573,0.1154038891507136,0.15375440680463667,0.1999999999999999,0.025871627046053128,0.034026430894249365,0.022068545261032954,0.3567335010275444,0.23529411764705882,0.07692307692307693,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.3556040010259041,0.19654505144243956,0.0,0.25,0.25,0.25,0.0,0.2,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
4,0.05832532515683733,0.05832532515683733,0.9360553392554655,0.4928672625894631,0.21048573631457212,0.06768312408820641,0.06115494818682529,0.0676885990674671,0.08333333333333334,0.04326519955896164,0.9506680617874378,0.04933193821256209,0.0646401174256108,0.09090909090909091,0.10344827586206898,0.12121212121212122,0.002093943542567908,0.28780004071198917,0.24316076124313302,0.5934295996085277,0.4466610176642545,0.7049237955691006,0.08656823662425389,0.5588413983098863,0.39740465667973524,0.18344486264878346,0.10911286071670462,0.0963273841629044,0.1337984533452436,0.12681106231993036,0.08872508980846858,0.1167813067278369,0.07473849240926099,0.08817817707251885,0.0866859092824998,0.0,0.0,0.0,0.0,0.0,0.14084176718730002,0.24183970756177836,0.0,0.0,0.0,0.0,0.12418939783839429,0.2003182477506993,0.0,0.0,0.0,0.0,0.0,0.0,0.12418939783839429,0.15377783380937624,0.0,0.0,0.0,0.0,0.0,0.0,0.17739639978524774,0.0,0.022068545261032954,0.19290956458234437,0.5,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.09090909090909091,0.325170225616163,0.1266265287052958,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.2953278391314792,0.2953278391314792,0.6749777519042877,0.4896313177152627,0.10593677717810332,0.13717898979782814,0.13188270021677398,0.13709762016398397,0.11956521739130435,0.43605748613789996,0.6671429620176961,0.33285703798230387,0.5170404963908795,0.49350649350649356,0.5763546798029557,0.6320346320346322,0.1701661311607969,0.5846850233329395,0.42229371975647745,0.4128644660907592,0.7380009041769298,0.585024344947882,0.45890835153384707,0.35734452278437473,0.4229773082761349,0.38702780216671473,0.1330856042142255,0.17516966839249168,0.1289853575686274,0.07961342280672136,0.3538741759504873,0.07094990237062503,0.38652599146050587,0.16552647656568742,0.12892413204959458,0.14384282959062922,0.0,0.0,0.15952737203410433,0.0,0.07071991126146362,0.19715815884831656,0.05531416635013197,0.21137547057561787,0.0,0.0,0.06695831188883172,0.0,0.0,0.0,0.0,0.18102478910797995,0.1883963942083659,0.0,0.06695831188883172,0.0,0.0,0.0,0.0,0.13333333333333333,0.21871243128473686,0.09381005688961287,0.03369107932188661,0.14980359787931735,0.1299779631300315,0.19290956458234437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3152834887357387,0.17381411228754412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2533227257013322,0.2533227257013322,0.8417786154234079,0.4529096363334541,0.10686198920585968,0.021744223086829384,0.017826888880120056,0.021750729530890564,0.03260869565217391,0.17167119041684745,0.5978400223204474,0.4021599776795525,0.12312567302430624,0.5454545454545455,0.4482758620689655,0.36363636363636365,0.025063803438476306,0.301463086669465,0.3525866740851634,0.4488654036372255,0.44338233677519545,0.47262093854140863,0.04817295847117259,0.28616522584540427,0.18856721035376509,0.30293591185415164,0.05818270344666955,0.04899163714268195,0.04541279641284839,0.03882779955301347,0.027166399676670006,0.0,0.0,0.044719907613110454,0.025561715726023476,0.07530966544997977,0.0,0.0,0.0,0.0,0.0,0.13039099027678142,0.028960020977954574,0.0,0.0,0.0,0.08501392243028888,0.0,0.0,0.0,0.0,0.0,0.07858533986492215,0.0,0.06695831188883172,0.0,0.0,0.0,0.05055179181849023,0.0,0.0,0.05860012641042282,0.0,0.034026430894249365,0.022068545261032954,0.19290956458234437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21852997873731053,0.051747395402220425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.752180848869474,0.752180848869474,0.8107365522886294,0.9310603864369531,0.11796453353893602,0.1289401565960864,0.12727100307913206,0.12840506198018475,0.10507246376811594,0.5510381180327532,0.6814355884722565,0.3405978327233464,0.6501731610897522,0.7272727272727274,0.7536945812807884,0.8138528138528139,0.5850944782567484,0.32321795952585397,0.39580576271242196,0.4617301510031153,0.47718914138112534,0.35095255759085786,0.5014932639626044,0.4181322574472116,0.423988609050016,0.35278379397899107,0.12220512212642204,0.1353223453893178,0.11965043592947172,0.14460458461689477,0.14260646350770526,0.11062842995519775,0.08768424383485632,0.1131811309236283,0.11091781582213425,0.0792384661923371,0.05602833424052219,0.0,0.0,0.25703248288365854,0.026748632756281084,0.22723394477815065,0.0,0.08284615449026281,0.0,0.0,0.1071330910754483,0.17036408458955205,0.0,0.36208902539170545,0.0,0.09999999999999999,0.05904993145742576,0.14593671247881676,0.10316866425764737,0.05931492887698168,0.0,0.0,0.1560570571133125,0.10258644007151205,0.08136909691501143,0.057066586323850935,0.10176767240361334,0.0,0.0600684202439042,0.5408167324401454,0.5555555555555556,0.07692307692307693,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2246200431872522,0.1362364575305145,0.0,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.770290801460043,0.770290801460043,0.7921540701357987,0.7480607123941376,0.4860307002172847,0.15455961843803023,0.14267493708718437,0.15458895293292632,0.1847826086956522,0.5239534542717512,0.4744609018798076,0.5255390981201923,0.6479985881015421,0.5537190082644629,0.6865203761755487,0.8044077134986226,0.02402359781603347,0.0169127426215816,0.624195887059748,0.1549390929529575,0.7501624219650302,0.26745507547929326,0.16757821926692845,0.2259600152649889,0.5202042684984773,0.14027226875400928,0.2334223455175529,0.21186369192547985,0.25657380113365186,0.4523853661213485,0.3165175932040534,0.529228237194271,0.3386990751909635,0.17280416778466623,0.18510143185294795,0.08118682627456983,0.0,0.0,0.0,0.13163849643318618,0.11808937325194188,0.5155074553588858,0.06053268602152879,0.031044301929328368,0.0,0.44318898126491074,0.23416537999656897,0.1252552718938499,0.0,0.0,0.0,0.0,0.06847678860942623,0.47774362678499654,0.23416537999656897,0.09615441729009155,0.0,0.0,0.04887252055833062,0.11942912613338287,0.3254763876600457,0.04593444863436665,0.13063930459653444,0.0,0.022068545261032954,0.35389724427120695,0.75,0.07692307692307693,0.5,0.42857142857142855,0.0,0.0,0.3333333333333333,0.2727272727272727,0.3806476433163178,0.2176743797982644,0.0,0.25,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.8115861308275777,0.8115861308275777,0.7462137776379326,0.5557125191331396,0.4085582112567463,0.19600415969974805,0.18780286935900858,0.1954737148680477,0.2028985507246377,0.5509554800768187,0.49043176868562477,0.5095682313143751,0.6882294865924576,0.6363636363636364,0.7413793103448276,0.8484848484848485,0.19292255542248002,0.04956247898200106,0.6432083056385535,0.18081081050853132,0.7230138205070256,0.2301709448729261,0.23303082676799253,0.2307442760639728,0.5529546434798889,0.1531357798123661,0.23938609324520702,0.24297920176574941,0.2535906554123337,0.3969848577702035,0.3378781409430745,0.4370401009989376,0.3312802971380179,0.20189609316216753,0.21901689734613874,0.07530966544997977,0.0,0.14068408549151565,0.0,0.13163849643318618,0.15055490344873124,0.37429161025601604,0.058272648086770074,0.15170929165376507,0.0,0.1157140519292277,0.21933017458262588,0.19170977339338371,0.0,0.0,0.0,0.14564947578661464,0.14424092348853157,0.12473606785276264,0.20193325431359402,0.0767667626569679,0.0,0.0,0.20468993565056753,0.059714563066691435,0.3254763876600457,0.0,0.18963052207590309,0.2006930975609161,0.1835619869600738,0.3460746218337798,0.65,0.0,0.3333333333333333,0.2857142857142857,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.2727272727272727,0.3736814236901109,0.2429241727321138,0.0,0.25,0.25,0.0,0.0,0.0,0.16666666666666666,0.09090909090909091,0.25,0.0,0.0,0.0,0.0,0.0
